,Set,Price_Euro,Pieces,Minifigs
0,Corner Garage,179.99,2569,6
1,Ford Mustang,169.99,1471,
2,NASA Apollo 11 Lunar Lander,99.99,1087,2
3,Gingerbread House,89.99,1477,2
4,Harley-Davidson Fat Boy,89.99,1023,
5,Woody & RC,9.74,69,1
6,Duke Caboom's Stunt Show,19.49,120,2
7,Buzz and Bo Peep's Playground Adventure,24.36,139,3
8,RV Vacation,34.11,178,3
9,Buzz & Woody's Carnival Mania!,49.99,230,5
10,Carnival Thrill Coaster,19.49,98,2
11,My First Tow Truck,9.74,11,
12,My First Balancing Animals,14.61,15,
13,My First Fun Puzzle,19.49,15,
14,My First Car Creations,19.99,34,
15,Creative Fun,34.99,120,1
16,Mickey's Vacation House,48.73,57,3
17,Spider-Man vs. Electro,19.99,29,2
18,Toy Story Train,19.99,21,2
19,Emmet and Lucy's Visitors from the DUPLO Planet,29.99,53,2
20,My First Minnie Build,9.99,10,
21,My First Mickey Build,9.74,9,
22,Frozen Ice Castle,49.99,59,3
23,Police Bike,9.99,8,1
24,Fire Truck,19.99,21,2
0,Police Station,29.99,38,3
1,Fire Station,49.99,76,2
2,Baby Animals,9.74,9,
3,Tropical Island,59.99,73,3
4,World Animals,99.99,121,6
5,Plane,9.99,12,1
6,Submarine Adventure,19.99,24,2
7,Bricks and Ideas,9.99,123,
8,Basic Brick Set ,19.99,300,
9,Bricks and Eyes ,29.23,451,
10,Windows of Creativity,29.23,450,
11,Creative Fun,34.11,900,
12,Star Wars: Build Your Own Adventure Galactic Missions parts,,66,1
13,The Book of Bedtime Builds parts,,68,
14,Harry Potter: Build Your Own Adventure parts,,101,1
15,Christmas Ideas parts,,41,
16,Wooden Minifigure parts,,29,
17,San Francisco,49.99,565,
18,Paris,49.99,649,
19,Trafalgar Square,79.99,1197,
20,Empire State Building,99.99,1767,
21,Burj Khalifa,39.99,333,
22,Minecraft Steve BigFig with Parrot,14.99,159,
23,Minecraft Alex BigFig with Chicken,14.99,160,
24,Minecraft Skeleton BigFig with Magma Cube,14.99,142,
0,The End Battle,19.99,222,2
1,The Pirate Ship Adventure,49.99,386,3
2,The Wool Farm,19.99,260,1
3,The Blaze Bridge,39.99,372,4
4,The Creeper Mine,79.99,834,4
5,The Flintstones,58.48,748,4
6,Steamboat Willie,87.72,751,2
7,Tree House,249.99,3036,4
8,Central Perk,79.99,1070,7
9,Dinosaur Fossils,59.99,910,2
10,My First Duck,,6,
11,Town Rescue - {Random Bag},,,
12,Town Rescue - Bird,,,
13,Town Rescue - Fireman,,,
14,Town Rescue - Cat,,,
15,Town Rescue - Policewoman,,,
16,Town Rescue - Dog,,,
17,Emmet's 'Piece' Offering,3.99,44,1
18,Fire ATV,,39,1
19,Sky Police Jetpack,,33,2
20,Race Boat,3.99,34,1
21,Popcorn Cart,,43,1
22,Space Satellite,,36,1
23,Naboo Starfighter,,48,
24,Snowspeeder,,49,
0,Minecraft Steve and Creeper Set,,36,2
1,Tulips,,90,
2,Emma's Bumper Cars,3.99,66,1
3,Mia's Water Fun,,28,1
4,Spider-Man's Mini Spider Crawler,,73,1
5,Iron Man and Dum-E,,38,1
6,Rex's Plantimal Ambush,3.89,32,1
7,Podracer,,58,
8,Lucy vs. Alien Invader,,44,1
9,Mini Master-Building MetalBeard,,42,1
10,Mini Master-Building Emmet,3.89,49,1
11,Sam-X,,56,
12,Ninja Workout,,31,1
13,Fire Flight,,54,1
14,Fish Free Builds - Make It Yours,,39,
15,Elsa's Winter Throne,3.99,42,1
16,Pelican,3.89,62,
17,Race Car,3.99,68,
18,Santa,,67,
19,Star-Stuck Emmet,,41,1
20,SHAZAM!,,5,1
21,Obi-Wan Kenobi - Collectable Minifigure,,12,1
22,Futuristic Flyer,14.61,157,
23,Dune Buggy,12.66,147,
24,Deep Sea Creatures,14.99,230,
0,Sunset Track Racer,19.99,221,
1,Underwater Robot,19.99,207,
2,Shuttle Transporter,24.36,341,
3,Helicopter Adventure,9.74,114,
4,Riverside Houseboat,29.99,396,2
5,Race Plane,29.23,333,1
6,Fairground Carousel,48.73,595,3
7,Twin-Rotor Helicopter,48.73,569,1
8,Townhouse Pet Shop & Café,79.99,969,3
9,Outback Cabin,29.23,305,2
10,Year of the Pig,,152,
11,MSC Cruises,,181,
12,Jet Fighter,,23,
13,Caterpillar,,48,
14,Viking Ship,,54,
15,Ladybird,,27,
16,Crane,,64,
17,Frog,,39,
18,Ice Cream Truck,,48,
19,Racing Car,,50,
20,Eagle,,56,
21,UFO,,36,
22,Wolf,,47,
23,Penguin,,47,
24,Battle of Hoth - 20th Anniversary Edition,,195,
0,Avengers Tower,,211,1
1,Space Rocket Ride,,154,1
2,Newbury Juice Bar,,127,2
3,Microscale Gingerbread House,19.48,499,
4,Christmas Tree,,392,
5,Sea Accessories,3.99,24,
6,NINJAGO Minifigure Set,12.99,59,4
7,Spider-Man and the Museum Break-In,14.61,49,3
8,Summer Celebration Minifigure Pack,12.99,45,4
9,Mars Exploration Minifigure Pack,12.66,44,4
10,LEGOLAND Park,,1336,11
11,LEGOLAND Driving School Cars,,209,4
12,Birthday Clown,9.99,150,
13,Valentine's Puppy,9.99,147,
14,Easter Chick,9.99,120,
15,Halloween Ghost,9.74,136,
16,Thanksgiving Scarecrow,9.99,177,
17,"Reindeer, Elf and Elfie",19.99,281,
18,Dragon Dance Guy,9.99,170,
19,LEGO House Exclusive Minifigure 2019,,7,1
20,LEGO Store Picture Frame,14.99,170,1
21,Name Sign,9.99,91,
22,Olaf's Traveling Sleigh,,97,1
23,Battle of Endor,,197,
24,LEGO House Dinosaurs,,864,
0,Lady Liberty,9.99,153,
1,Xmas Accessories,3.99,32,1
2,Rebuild the World minifigure,,6,
3,1989 Batmobile - Limited Edition,,366,
4,Reindeer,,77,
5,Plants from Plants,,29,
6,Jasmine's Petite Tower,9.99,49,1
7,Cinderella's Carriage Ride,19.99,91,1
8,Ariel's Castle,24.99,115,1
9,Aladdin's and Jasmine's Palace Adventures,29.99,193,2
10,"Ariel, Aurora, and Tiana's Royal Celebration",44.99,282,3
11,Rapunzel's Small Tower,9.99,44,1
12,Enchanted Treehouse,48.73,302,3
13,Anna's Canoe Expedition,19.99,108,2
14,Elsa and the Reindeer Carriage,29.99,116,1
15,Arendelle Castle Village,79.99,521,3
16,Elsa's Jewellery Box Creation,39.99,300,1
17,Olaf,14.61,122,
18,Underwater Loop,29.23,389,2
19,Andrea's Heart Box,7.99,84,1
20,Emma's Heart Box,7.99,85,1
21,Stephanie's Heart Box,7.99,85,1
22,Olivia's Heart Box,7.99,85,2
23,Mia's Heart Box,7.99,83,1
24,Heart Box Friendship Pack,19.99,199,2
0,Emma's Mobile Veterinary Clinic ,9.74,50,1
1,Mia's Foal Stable ,19.49,118,1
2,Heartlake City Supermarket,29.23,140,2
3,Mia's Forest Adventure,14.99,134,1
4,Stephanie's Buggy & Trailer ,19.99,166,1
5,Emma's Art Studio,24.99,235,2
6,Olivia's Cupcake Cafe,29.23,335,2
7,Stephanie's Horse Jumping,38.98,337,2
8,Andrea's Talent Show,49.99,492,2
9,Mia's House,68.23,715,3
10,Mia's Horse Trailer,29.23,216,2
11,Stephanie's Gymnastics Show,29.23,241,2
12,Funny Octopus Ride,38.98,324,2
13,Andrea's Pool Party,48.73,468,2
14,Heartlake City Amusement Pier,126.71,1251,7
15,Turtles Rescue Mission,19.49,225,2
16,Dolphins Rescue Mission,38.98,363,2
17,Heartlake City Restaurant,58.48,624,3
18,Lighthouse Rescue Centre,58.48,602,2
19,Rescue Mission Boat,87.72,908,4
20,LEGO Friends Advent Calendar,24.99,330,3
21,Olivia's Hamster Playground,9.74,81,1
22,Andrea's Summer Heart Box,7.99,83,1
23,Emma's Summer Heart Box,7.99,86,1
24,Stephanie's Summer Heart Box,7.99,95,1
0,Olivia's Summer Heart Box,7.99,93,2
1,Mia's Summer Heart Box,7.99,85,1
2,Emmet,,113,
3,Wyldstyle,,134,
4,Benny,,103,
5,Sweet Mayhem,,137,
6,Cherry Picker,9.74,155,
7,Power Boat,14.99,174,
8,Getaway Truck,19.99,128,
9,Police Pursuit,19.49,120,
10,Rescue Helicopter,29.99,325,
11,Chevrolet Corvette ZR1,39.99,579,
12,Tracked Loader,59.99,827,
13,Remote-Controlled Stunt Racer,79.99,324,
14,Porsche 911 RSR,199.99,1580,
15,Compact Crawler Crane,87.72,920,
16,Car Transporter,149.99,2493,
17,4x4 X-Treme Off-Roader,229.99,958,
18,Liebherr R 9800,449.99,4108,
19,Land Rover Defender,199.99,2573,
20,Elsa's Ice Palace,69.99,701,7
21,City Shaper Challenge Kit,,2238,1
22,BOOMTOWN BUILD Inspire Set,,739,
23,BOOMTOWN BUILD Discovery Set,,78,4
24,Ski Resort,77.97,806,11
0,Jet Patrol,9.74,54,2
1,Sky Police Drone Chase,19.49,192,3
2,Parachute Arrest,29.23,218,4
3,Diamond Heist,49.99,400,4
4,Air Base,73.10,529,6
5,Barbecue Burn Out,9.74,64,2
6,Dock Side Fire,14.61,97,2
7,Burger Bar Fire Rescue,29.99,327,3
8,Fire Station,59.99,509,4
9,Downtown Fire Brigade,99.99,943,7
10,Fire Plane,38.98,363,3
11,Desert Rally Racer,9.99,75,1
12,Construction Loader,9.99,88,1
13,Garbage Truck,19.99,90,2
14,Diving Yacht,19.99,148,2
15,Snow Groomer,19.49,197,2
16,Harvester Transport,29.99,358,3
17,Satellite Service Mission,9.74,84,1
18,Rover Testing Drive,19.49,202,2
19,Mars Research Shuttle,29.99,273,2
20,Lunar Space Station,48.73,412,5
21,Deep Space Rocket and Launch Control,99.99,837,7
22,Rocket Assembly & Transport,129.99,1055,8
23,People Pack - Space Research and Development,38.98,209,15
24,Fire Chief Response Truck,19.49,201,2
